"","bwnetModuleLabels","bwnetModuleColors"
"TraesCS2A01G492200","0","grey"
"TraesCS2A01G492300","7","black"
"TraesCS2A01G492400","2","blue"
"TraesCS2A01G492500","28","skyblue"
"TraesCS2A01G492600","5","green"
"TraesCS2A01G492800","0","grey"
"TraesCS2A01G492900","1","turquoise"
"TraesCS2A01G493200","3","brown"
"TraesCS2A01G493300","3","brown"
"TraesCS2A01G493400","10","purple"
"TraesCS2A01G493500","0","grey"
"TraesCS2A01G493600","7","black"
"TraesCS2A01G493700","7","black"
"TraesCS2A01G493800","0","grey"
"TraesCS2A01G493900","0","grey"
"TraesCS2A01G494000","0","grey"
"TraesCS2A01G494200","0","grey"
"TraesCS2A01G494300","0","grey"
"TraesCS2A01G494400","0","grey"
"TraesCS2A01G494500","0","grey"
"TraesCS2A01G494600","15","midnightblue"
"TraesCS2A01G494700","0","grey"
"TraesCS2A01G494800","0","grey"
"TraesCS2A01G494900","22","darkgreen"
"TraesCS2A01G495100","2","blue"
"TraesCS2A01G495400","0","grey"
"TraesCS2A01G495500","6","red"
"TraesCS2A01G495600","3","brown"
"TraesCS2A01G495700","3","brown"
"TraesCS2A01G495800","0","grey"
"TraesCS2A01G495900","0","grey"
"TraesCS2A01G496000","0","grey"
"TraesCS2A01G496100","0","grey"
"TraesCS2A01G496200","1","turquoise"
"TraesCS2A01G496600","0","grey"
"TraesCS2A01G496700","2","blue"
"TraesCS2A01G496800","0","grey"
"TraesCS2A01G496900","0","grey"
"TraesCS2A01G497000","21","darkred"
"TraesCS2A01G497100","0","grey"
"TraesCS2A01G497200","0","grey"
"TraesCS2A01G497500","6","red"
"TraesCS2A01G497600","2","blue"
"TraesCS2A01G497700","0","grey"
"TraesCS2A01G497800","0","grey"
"TraesCS2A01G497900","0","grey"
"TraesCS2A01G498000","0","grey"
"TraesCS2A01G498100","0","grey"
"TraesCS2A01G498200","0","grey"
"TraesCS2A01G498300","0","grey"
"TraesCS2A01G498400","0","grey"
"TraesCS2A01G498500","0","grey"
"TraesCS2A01G498600","2","blue"
"TraesCS2A01G498700","0","grey"
"TraesCS2A01G498800","1","turquoise"
"TraesCS2A01G498900","0","grey"
"TraesCS2A01G499000","3","brown"
"TraesCS2A01G499100","0","grey"
"TraesCS2A01G499200","0","grey"
"TraesCS2A01G499300","0","grey"
"TraesCS2A01G499400","1","turquoise"
"TraesCS2A01G499500","6","red"
"TraesCS2A01G499600","5","green"
"TraesCS2A01G499700","0","grey"
"TraesCS2A01G499800","3","brown"
"TraesCS2A01G499900","5","green"
"TraesCS2A01G500000","0","grey"
"TraesCS2A01G500200","0","grey"
"TraesCS2A01G500300","1","turquoise"
"TraesCS2A01G500400","5","green"
"TraesCS2A01G500500","7","black"
"TraesCS2A01G500600","11","greenyellow"
"TraesCS2A01G500800","0","grey"
"TraesCS2A01G500900","8","pink"
"TraesCS2A01G501000","4","yellow"
"TraesCS2A01G501100","0","grey"
"TraesCS2A01G501200","1","turquoise"
"TraesCS2A01G501300","12","tan"
"TraesCS2A01G501400","0","grey"
"TraesCS2A01G501500","0","grey"
"TraesCS2A01G501600","2","blue"
"TraesCS2A01G501700","5","green"
"TraesCS2A01G501800","1","turquoise"
"TraesCS2A01G501900","1","turquoise"
"TraesCS2A01G502100","2","blue"
"TraesCS2A01G502200","0","grey"
"TraesCS2A01G502300","23","darkturquoise"
"TraesCS2A01G502400","1","turquoise"
"TraesCS2A01G502800","0","grey"
"TraesCS2A01G503000","13","salmon"
"TraesCS2A01G503100","0","grey"
"TraesCS2A01G503200","0","grey"
"TraesCS2A01G503300","0","grey"
"TraesCS2A01G503400","0","grey"
"TraesCS2A01G503600","9","magenta"
"TraesCS2A01G503700","3","brown"
"TraesCS2A01G503800","10","purple"
"TraesCS2A01G503900","0","grey"
